#timestamp	milliseconds	requestsNumber	Failures	All_ms	min_ms	max_ms	avg_ms
2018-11-29T12:32:53.941+0200	1543487573941	7	0.0	1673	808	1673	1398.0
2018-11-29T12:32:55.615+0200	1543487575615	7	0.0	1281	788	1280	1023.8571428571429
2018-11-29T12:32:56.897+0200	1543487576897	7	0.0	1093	622	1093	908.1428571428571
2018-11-29T12:32:57.991+0200	1543487577991	7	0.0	1201	1012	1200	1113.0
2018-11-29T12:32:59.193+0200	1543487579193	7	0.0	1184	1059	1181	1093.2857142857142
2018-11-29T12:33:00.378+0200	1543487580378	7	0.0	1289	513	1288	843.4285714285714
2018-11-29T12:33:01.667+0200	1543487581667	7	0.0	1177	818	1176	947.7142857142857
2018-11-29T12:33:02.846+0200	1543487582846	7	0.0	1201	804	1190	986.4285714285714
2018-11-29T12:33:04.047+0200	1543487584047	7	0.0	1127	676	1125	955.5714285714286
2018-11-29T12:33:05.175+0200	1543487585175	7	0.0	1144	816	1141	954.8571428571429
2018-11-29T12:33:06.320+0200	1543487586320	7	0.0	1214	864	1213	1069.857142857143
2018-11-29T12:33:07.536+0200	1543487587536	8	0.0	1372	452	1372	1070.625
2018-11-29T12:33:08.909+0200	1543487588909	8	0.0	1504	629	1503	1205.5
2018-11-29T12:33:10.415+0200	1543487590415	8	0.0	1463	1254	1461	1389.0
2018-11-29T12:33:11.878+0200	1543487591878	8	0.0	1466	717	1464	1131.75
2018-11-29T12:33:13.345+0200	1543487593345	8	0.0	1323	953	1319	1134.625
2018-11-29T12:33:14.669+0200	1543487594669	8	0.0	1601	986	1597	1264.375
2018-11-29T12:33:16.272+0200	1543487596272	8	0.0	1347	731	1346	1023.625
2018-11-29T12:33:17.620+0200	1543487597620	8	0.0	1576	1008	1573	1358.75
2018-11-29T12:33:19.198+0200	1543487599198	8	0.0	1250	882	1249	1072.75
2018-11-29T12:33:20.450+0200	1543487600450	8	0.0	1835	693	1832	977.625
2018-11-29T12:33:22.286+0200	1543487602286	8	0.0	1259	979	1255	1157.125
2018-11-29T12:33:23.547+0200	1543487603547	8	0.0	2058	328	2056	1261.75
2018-11-29T12:33:25.605+0200	1543487605605	8	0.0	1387	1003	1385	1217.125
2018-11-29T12:33:26.993+0200	1543487606993	8	0.0	1618	1474	1618	1583.625
2018-11-29T12:33:28.612+0200	1543487608612	8	0.0	1674	1347	1672	1593.25
2018-11-29T12:33:30.287+0200	1543487610287	8	0.0	1226	1004	1224	1119.25
2018-11-29T12:33:31.514+0200	1543487611514	8	0.0	1213	950	1212	1110.25
2018-11-29T12:33:32.727+0200	1543487612727	8	0.0	1258	1005	1256	1168.375
2018-11-29T12:33:33.986+0200	1543487613986	8	0.0	1287	1012	1285	1177.0
2018-11-29T12:33:35.274+0200	1543487615274	8	0.0	1257	903	1256	1129.75
2018-11-29T12:33:36.533+0200	1543487616533	9	0.0	1251	1013	1249	1114.0
2018-11-29T12:33:37.785+0200	1543487617785	9	0.0	1409	1105	1405	1273.0
2018-11-29T12:33:39.196+0200	1543487619196	9	0.0	1790	911	1788	1326.888888888889
2018-11-29T12:33:40.987+0200	1543487620987	9	0.0	1610	1013	1608	1388.6666666666667
2018-11-29T12:33:42.598+0200	1543487622598	9	0.0	1383	1057	1383	1248.888888888889
2018-11-29T12:33:43.981+0200	1543487623981	9	0.0	1988	1465	1987	1776.888888888889
2018-11-29T12:33:45.970+0200	1543487625970	9	0.0	1932	1153	1931	1690.0
2018-11-29T12:33:47.903+0200	1543487627903	9	0.0	1405	1106	1403	1226.888888888889
2018-11-29T12:33:49.309+0200	1543487629309	9	0.0	1542	1051	1541	1323.888888888889
